method,grid,work_index,wall_ms,residual,aux,ok
NRII,256,2,1.720591,1.373972718e-06,1,1
NRII,256,3,4.087983,2.168342019e-08,1,1
NRII,256,4,3.728219,1.810257729e-08,2,1
NRII,256,5,4.784596,4.471694807e-09,2,1
NRII,256,6,6.152505,4.470964459e-09,3,1
NRII,256,7,6.261517,4.467476376e-09,3,1
NRII,256,8,13.678287,4.467476375e-09,4,1
NRII,256,9,10.16049,4.467475776e-09,4,1
NRII,256,10,22.443047,4.467475789e-09,5,1
NRII,256,11,27.973349,4.46747578e-09,5,1
NRII,256,12,58.393086,4.46747578e-09,6,1
Newton,256,0,0,0.0001163810721,0,1
Newton,256,1,8.705091,1.292762116e-06,1,1
Newton,256,2,22.617064,4.471354465e-09,3,1
Newton,256,3,33.696837,4.467433093e-09,5,1
Newton,256,4,44.66171,4.467432804e-09,7,1
NRII,512,2,6.841768,4.303975373e-06,1,1
NRII,512,3,13.288759,1.43152246e-07,1,1
NRII,512,4,15.658364,1.216628923e-07,2,1
NRII,512,5,19.438049,5.756169677e-09,2,1
NRII,512,6,30.096368,5.505845282e-09,3,1
NRII,512,7,37.923757,4.358575351e-09,3,1
NRII,512,8,62.271678,4.358069563e-09,4,1
NRII,512,9,68.973778,4.357239944e-09,4,1
NRII,512,10,97.876534,4.357219884e-09,5,1
NRII,512,11,100.44911,4.357219205e-09,5,1
NRII,512,12,123.322395,4.357219202e-09,6,1
NRII,512,13,165.163912,4.357219213e-09,6,1
NRII,512,14,202.407073,4.357219213e-09,7,1
Newton,512,0,0,0.0001760261857,0,1
Newton,512,1,49.857896,4.161401372e-06,1,1
Newton,512,2,90.815022,5.605353716e-09,3,1
Newton,512,3,148.050154,4.355944092e-09,6,1
Newton,512,4,189.741038,4.355784943e-09,8,1
Newton,512,5,238.390141,4.355784942e-09,10,1
