stress,method,repeats,successes,mean_wall_us,mean_iterations,mean_residual_evals,mean_linear_solves
0.10000000000000001,Newton,100,100,16.526110,3.000000,4.000000,3.000000
0.10000000000000001,Newton+LineSearch,100,100,16.934640,3.000000,4.000000,3.000000
0.10000000000000001,Newton+Aitken,100,100,19.210130,3.000000,7.000000,3.000000
0.10000000000000001,Newton+Anderson,100,100,19.327700,3.000000,6.000000,3.000000
0.10000000000000001,Broyden->Newton,100,100,505.336120,3.000000,4.000000,131.000000
0.10000000000000001,PseudoTransient->Newton,100,100,43.558870,8.000000,9.000000,8.000000
0.10000000000000001,NRII->Newton,100,100,92.567390,2.000000,4.000000,2.000000
0.5,Newton,100,100,27.187200,5.000000,6.000000,5.000000
0.5,Newton+LineSearch,100,100,30.064340,5.000000,6.000000,5.000000
0.5,Newton+Aitken,100,100,32.130130,5.000000,11.000000,5.000000
0.5,Newton+Anderson,100,100,39.233450,5.000000,10.000000,5.000000
0.5,Broyden->Newton,100,100,601.627330,6.000000,7.000000,134.000000
0.5,PseudoTransient->Newton,100,100,41.319650,8.000000,9.000000,8.000000
0.5,NRII->Newton,100,100,107.583180,5.000000,7.000000,5.000000
1,Newton,100,100,39.582860,7.000000,8.000000,7.000000
1,Newton+LineSearch,100,100,30.232270,5.000000,7.000000,5.000000
1,Newton+Aitken,100,100,42.785850,7.000000,15.000000,7.000000
1,Newton+Anderson,100,100,51.198260,7.000000,14.000000,7.000000
1,Broyden->Newton,100,100,667.224500,9.000000,10.000000,137.000000
1,PseudoTransient->Newton,100,100,41.359990,8.000000,9.000000,8.000000
1,NRII->Newton,100,100,117.770920,7.000000,9.000000,7.000000
2,Newton,100,100,51.903140,10.000000,11.000000,10.000000
2,Newton+LineSearch,100,100,35.711270,6.000000,9.000000,6.000000
2,Newton+Aitken,100,100,49.147660,8.000000,17.000000,8.000000
2,Newton+Anderson,100,100,75.392180,10.000000,20.000000,10.000000
2,Broyden->Newton,100,100,736.607530,21.000000,22.000000,149.000000
2,PseudoTransient->Newton,100,100,36.316520,7.000000,8.000000,7.000000
2,NRII->Newton,100,100,132.611130,10.000000,12.000000,10.000000
5,Newton,100,100,73.345580,14.000000,15.000000,14.000000
5,Newton+LineSearch,100,100,42.254980,7.000000,13.000000,7.000000
5,Newton+Aitken,100,100,66.615580,11.000000,23.000000,11.000000
5,Newton+Anderson,100,0,186.167750,24.000000,49.000000,24.000000
5,Broyden->Newton,100,0,729.852540,24.000000,26.000000,152.000000
5,PseudoTransient->Newton,100,100,46.749040,9.000000,10.000000,9.000000
5,NRII->Newton,100,100,154.868800,14.000000,16.000000,14.000000
