q2_rad,q3_rad,task_jacobian_sigma_min,task_jacobian_rank,kkt_sigma_min,kkt_cond2,kkt_numerical_rank,kkt_full_rank,direct_accel_forward_error_exact_rhs,direct_lambda_norm_exact_rhs,direct_backward_error_exact_rhs,direct_accel_forward_error_rhs_perturb_1e-14,direct_lambda_norm_rhs_perturb_1e-14,pinv_accel_forward_error_rhs_perturb_1e-14
0.10000000000000001,0.059999999999999998,0.076489762277019036,2,0.015085059355244951,6629.2504182165503,34,1,3.7189110704673682e-14,2.0503298760490309e-14,4.9404432394992102e-17,5.787951119313395e-13,4.0685487269548281e-13,6.52052741635565e-13
0.01,0.0060000000000000001,0.0076575376830259265,2,0.00016095848807218973,621294.57872844685,34,1,3.5063413978013527e-14,2.8198766848114496e-13,5.022641931215318e-17,5.9368105574092815e-13,4.8896509790197854e-13,5.7056647492959034e-13
0.001,0.00059999999999999995,0.00076576233046004129,2,1.6107696796072995e-06,62083758.656271212,34,1,4.9883668891219458e-14,2.9019101393294465e-11,1.0724220005053993e-16,5.9337959313192454e-13,2.8992073513421138e-11,6.7969528948180765e-13
0.0001,6.0000000000000002e-05,7.6576241608093687e-05,2,1.6107815428893847e-08,6208330141.4167175,34,1,5.7048872530367918e-13,3.7780978649391686e-09,8.3623843395540096e-17,8.2166054300572381e-13,3.778717599118776e-09,1.3743298472585611e-11
1.0000000000000001e-05,6.0000000000000002e-06,7.6576241693800146e-06,2,1.610781979318075e-10,620832845931.85571,34,1,1.2362587478619418e-11,8.2589166622288057e-07,7.0744273305652795e-17,1.2375819611265756e-11,8.2589218673290397e-07,2.485729448347395e-11
9.9999999999999995e-07,5.9999999999999997e-07,7.6576241701281823e-07,2,1.6107688505955096e-12,62083790608818.609,34,1,6.2661356745501724e-11,4.1941957723929761e-05,6.5768033610633513e-17,6.2664159923224744e-11,4.1941942593852028e-05,3.4192395558434418e-12
9.9999999999999995e-08,5.9999999999999995e-08,7.6576241742665516e-08,2,1.6064575278556482e-14,6225040768619985,33,0,1.083970273677796e-10,0.00072566467543082346,8.5084144863380816e-17,1.0839914417755192e-10,0.00072566497952768932,6.6060782058506879e-13
1e-08,6e-09,7.65762413527911e-09,2,1.7604988533937111e-16,5.6803579193933472e+17,33,0,1.7109433978023989e-08,1.145355541299659,5.4028944390227036e-17,1.7109433715722796e-08,1.1453555390889327,6.5907429653667515e-13
1e-10,6e-11,7.6576209514020965e-11,2,2.0291425575089102e-17,4.9283198792275937e+18,33,0,6.9967935153815218e-10,4.683977807977981,2.3524354286769883e-17,6.9967995399431269e-10,4.6839778081384802,5.8476872486433997e-13
9.9999999999999998e-13,5.9999999999999997e-13,7.6573000372341853e-13,2,1.3092992884044647e-17,7.6378744665357435e+18,33,0,1.9997014209419668e-11,13.374107034120527,9.493716571865459e-18,2.0004535096875567e-11,13.37410703411903,6.9739354688861026e-13
0,0,2.7617829973236284e-17,1,2.9342677728104639e-17,3.4080950950088479e+18,33,0,5.8781542073636256e-14,19.268244639487854,6.6213380233547266e-18,5.9966007660629593e-13,19.268244639494078,7.1321620393807088e-13
