q2_rad,q3_rad,task_jacobian_sigma_min,task_jacobian_rank,kkt_sigma_min,kkt_cond2,kkt_numerical_rank,kkt_full_rank,direct_accel_forward_error_exact_rhs,direct_lambda_norm_exact_rhs,direct_backward_error_exact_rhs,direct_accel_forward_error_rhs_perturb_1e-14,direct_lambda_norm_rhs_perturb_1e-14,pinv_accel_forward_error_rhs_perturb_1e-14
0.1,0.06,0.07648976227701901,2,0.015085059355244965,6629.168754994164,34,True,1.2496955235041089e-14,1.4351419726793153e-14,5.747447065342491e-17,4.958481370929313e-13,4.372492421467706e-13,5.037506161503857e-13
0.01,0.006,0.007657537683025901,2,0.00016095848807216913,621286.92523618,34,True,2.741661270624228e-14,2.1770965226870122e-13,3.4862411805634343e-17,5.004024156395368e-13,4.821108096565861e-13,5.009271591827624e-13
0.001,0.0006,0.0007657623304601385,2,1.610769679731325e-06,62082993.86520762,34,True,1.0098034822386664e-13,7.448575786817079e-11,5.666522627591773e-17,5.087329257469424e-13,7.448699200806384e-11,5.029879591492782e-13
0.0001,6e-05,7.65762416081011e-05,2,1.610781546544527e-08,6208253649.264037,34,True,9.393579435479201e-13,6.159460361457984e-09,3.663158018538482e-17,1.0648970671706987e-12,6.159460376600168e-09,2.846099135037495e-12
1e-05,6e-06,7.657624169321732e-06,2,1.6107806279737536e-10,620825718960.9791,34,True,2.278658305378244e-11,1.5256340944408214e-06,4.3742271393851073e-17,2.2792008517621386e-11,1.5256340944413576e-06,3.2577923460806863e-11
1e-06,6e-07,7.657624170553788e-07,2,1.6107967664743842e-12,62081949893591.73,34,True,7.669432742080674e-11,5.133386275653939e-05,4.21960825649639e-17,7.669609720386385e-11,5.13338627565434e-05,3.2135852491504313e-12
1e-07,6e-08,7.657624164955243e-08,2,1.612915095159644e-14,6200041430892823.0,33,False,3.7049122693303776e-10,0.0024799362719645068,5.5281555152124146e-17,3.704915164197489e-10,0.0024799362719592146,5.063211728636889e-13
1e-08,6e-09,7.657624075616809e-09,2,1.3458671203875489e-16,7.430258353902459e+17,33,False,9.03012277803565e-09,0.6045021374499213,5.704969681621663e-17,9.030122541151552e-09,0.6045021374497183,4.924376722015953e-13
1e-10,6e-11,7.657625144684694e-11,2,7.319663984914006e-17,1.3662021146206638e+18,33,False,5.096827984663054e-10,3.4119886076145085,2.233399864472058e-17,5.096839643042466e-10,3.4119886076126535,5.03151746597675e-13
1e-12,6e-13,7.65660700461699e-13,2,1.7105928701480348e-17,5.846008474030889e+18,33,False,8.845287392250431e-11,59.246338448928704,2.384673364073177e-18,8.843852373291139e-11,59.24633844893162,5.174538767164434e-13
0.0,0.0,3.297639032685344e-17,1,1.0365438561094736e-17,9.64758061664308e+18,33,False,3.3533086067931706e-14,12.118741963152212,6.795663484987808e-18,5.024542947236183e-13,12.118741963144023,4.947802223860411e-13
