drive,pure_ok,pure_iters,pure_residual,oneshot_ok,oneshot_p,oneshot_residual
76,1,5,1.9579199482469e-14,1,24,1.9402208629001e-14
77,1,6,1.9291003366027e-14,1,24,2.077563998987e-14
78,0,40,2.3448893139198,1,24,5.976320432555e-12
79,0,40,2.3901282096907,1,24,2.2264362902491e-14
80,0,40,2.4394063388924,1,80,1.9446552562863e-14
82,0,40,2.5562577074475,1,80,2.8284487470577e-14
84,0,40,2.6507377459373,1,64,3.4339481937712e-14
86,0,40,2.7390446182891,1,64,5.5524932449825e-14
87,0,40,2.8225619125388,1,64,6.9383881580151e-11
88,0,40,2.902350038719,0,96,760812.51957994
89,0,40,2.9784535259774,0,96,1253031.2594234
90,0,40,3.0461543470838,0,96,11470779.257262
92,0,31,3.1630931299296,0,96,11908894166.844
94,0,40,3.2827345166757,0,112,4.2406252350823e+15
96,0,40,3.3995778148387,0,-1,0
98,0,40,3.5209228040975,0,-1,0
100,0,40,3.6460988418651,0,-1,0
102,0,40,3.763451197145,0,-1,0
104,0,40,3.8853728611729,0,-1,0
105,0,40,3.948230145971,0,-1,0
106,0,40,4.0127863234443,0,-1,0
107,0,40,4.0755589155701,0,-1,0
108,0,40,4.1355404862375,0,-1,0
109,0,40,4.1959966372509,0,-1,0
110,0,40,4.2570397342492,0,-1,0
190,0,40,9.5589528680633,0,-1,0
195,0,40,9.9225775719855,0,-1,0
