drive,pure_ok,pure_iters,pure_init_res,pure_res,pure_min_alpha,oneshot_ok,oneshot_p,oneshot_seed_res,oneshot_iters,oneshot_res,alt_ok,alt_rungs,alt_newton_iters,alt_res,alt_min_alpha,alt_total_ms
76,1,5,2.2447979241555,1.9579199482469e-14,0.25,1,24,0.68204461384081,3,1.9402208629001e-14,1,2,4,1.7191500115604e-11,0.5,242.496016
77,1,6,2.3002813528558,1.9291003366027e-14,0.03125,1,24,1.5011470201345,3,2.077563998987e-14,1,3,5,1.9380127920157e-14,0.25,402.742381
78,0,40,2.3560676088087,2.3448893139198,2.373951949416e-30,1,24,3.1906582239453,3,5.976320432555e-12,1,3,5,1.9538555245676e-14,0.0625,437.942592
79,0,40,2.4121487681705,2.3901282096907,1.2734297591956e-29,1,24,6.6787663768404,4,2.2264362902491e-14,1,6,11,9.608126090905e-11,0.0045022392315871,780.259243
80,0,40,2.4685171693304,2.4394063388924,1.6029513731506e-29,1,80,3.3166059213828,3,1.9446552562863e-14,1,12,23,2.0526499261756e-14,0.000244140625,1400.55844
82,0,40,2.582086301731,2.5562577074475,4.3292707735438e-30,1,80,2.6837712070866,4,2.8284487470577e-14,1,14,27,2.1966391781198e-14,0.00068697892863174,1603.115707
84,0,40,2.696718585131,2.6507377459373,1.018722196335e-19,1,64,10.270205028359,4,3.4339481937712e-14,1,10,19,2.6645352591004e-14,0.0032127200668227,1977.883007
86,0,40,2.8123611911321,2.7390446182891,1.9348516678933e-26,1,64,35.961912472056,5,5.5524932449825e-14,1,9,17,2.9080894009759e-11,0.0001220703125,1797.841079
87,0,40,2.8705457723606,2.8225619125388,6.3544293222369e-28,1,64,78.878498827405,5,6.9383881580151e-11,1,8,15,7.3336314500054e-12,0.0016389041993149,1346.444857
88,0,40,2.9289646166832,2.902350038719,7.200279699081e-29,0,96,872843.17207693,40,760812.51957994,1,9,17,3.1275939799069e-13,0.0064385570689625,2026.078973
89,0,40,2.987612015536,2.9784535259774,1.2394832549683e-30,0,96,4517822.91162,40,1253031.2594234,1,8,15,7.0103543561582e-14,0.0063128046716048,1884.763166
90,0,40,3.0464824386071,3.0461543470838,4.6629478382065e-32,0,96,47026185.960219,40,11470779.257262,1,8,15,7.3095776380397e-14,0.012001911335867,1486.630669
92,0,31,3.1648710880435,3.1630931299296,1.7791299300811e-24,0,96,15662184837.436,40,11908894166.844,1,7,13,1.0658141036402e-13,0.0047059831167317,1453.293664
94,0,40,3.2840896431742,3.2827345166757,1.7095682381937e-31,0,112,6.4664647106591e+15,40,4.2406252350823e+15,1,6,11,1.0658141036402e-13,0.002782966491798,1200.93776
96,0,40,3.404099638707,3.3995778148387,5.7679087747898e-31,0,-1,inf,0,0,1,7,13,1.0569323194431e-13,0.00086240311373795,818.257224
98,0,40,3.5248648907054,3.5209228040975,2.0861827674667e-20,0,-1,inf,0,0,1,4,7,1.1102230246252e-13,0.0035014094359282,454.692524
100,0,40,3.6463513354628,3.6460988418651,3.7402145446335e-23,0,-1,inf,0,0,1,4,7,1.0125233984581e-13,0.0034751464226443,592.012861
102,0,40,3.768526881223,3.763451197145,1.0303848625503e-27,0,-1,inf,0,0,1,4,7,2.0250467969163e-13,0.0052001065165358,670.190015
104,0,40,3.8913612716501,3.8853728611729,4.4781598305529e-19,0,-1,inf,0,0,1,4,7,1.9007018181583e-13,0.0043172716915631,863.653052
105,0,40,3.9530165492213,3.948230145971,1.6134095490835e-30,0,-1,inf,0,0,1,4,7,2.2204460492503e-13,0.059959004559319,781.044646
106,0,40,4.0148259600433,4.0127863234443,4.4002775757178e-30,0,-1,inf,0,0,1,4,7,2.1760371282653e-13,0.047006830749541,523.014196
107,0,40,4.0767861838871,4.0755589155701,5.3995710953059e-31,0,-1,inf,0,0,1,4,7,1.0157606920281e-12,0.06697516422402,637.99598
108,0,40,4.1388939933785,4.1355404862375,3.5959930485488e-31,0,-1,inf,0,0,0,1,2,21735573.578696,0.0036921287536502,814.788999
109,0,40,4.2011462508539,4.1959966372509,3.1152633007412e-23,0,-1,inf,0,0,1,4,7,1.9539925233403e-13,0.55989792187269,857.687429
110,0,40,4.263539905339,4.2570397342492,5.2454610167979e-27,0,-1,inf,0,0,0,1,2,14325242.978279,3.2880822668157e-05,657.901779
