drive,direct_cont_ok,direct_iters,direct_init_res,direct_res,direct_alpha,hybrid_ok,hybrid_p,hybrid_seed_res,hybrid_iters,hybrid_res,hybrid_alpha
77,1,6,2.3002813528558,1.9291003366027e-14,0.03125,1,24,1.5011470201345,3,2.077563998987e-14,1
78,1,4,0.4733990917741,1.9560043685806e-14,1,1,16,0.0089685989156694,2,3.1909159648401e-14,1
80,1,5,1.1153805518845,1.9480136215893e-14,1,1,16,0.049949159776496,2,6.2040806567138e-11,1
84,1,4,3.0196065418024,7.1107353629014e-12,0.5,1,16,0.30375758244107,3,4.2440466542633e-14,1
88,1,5,4.8577346810383,5.444289154744e-14,0.5,1,16,0.4265887192601,3,5.3290705182008e-14,1
92,1,5,6.8368351294109,1.0746958878372e-13,1,1,16,0.37950824364709,2,6.3920561571371e-11,1
96,1,5,8.8405513211425,1.0658141036402e-13,1,1,16,0.37907313611787,2,5.3738731877944e-11,1
100,1,5,10.837447723787,1.1635137298072e-13,1,1,16,0.2619541505365,3,1.1102230246252e-13,1
110,1,5,32.38859298557,2.3003821070233e-13,0.5,1,16,2.9361765261213,3,2.2470914018413e-13,1
120,1,6,44.831219792675,3.7658764995285e-13,1,1,16,2.237506261351,3,3.9612757518626e-13,1
130,1,5,57.161204944214,6.6051896637713e-13,1,1,16,2.4874783228352,3,3.9079850466806e-13,1
140,1,5,69.38254578711,5.4751484767495e-13,1,1,16,3.2606850044299,3,3.9079850466806e-13,1
150,1,5,81.520692999445,7.6205708410271e-13,1,1,24,0.67871893104199,3,8.2778228716052e-13,1
160,1,5,93.588878811883,8.2245321664232e-13,1,1,24,0.54968648266965,3,8.2778228716052e-13,1
180,1,6,214.25587902646,8.0291329140891e-13,1,1,24,3.8895243298554,3,1.383719398116e-11,1
200,1,5,262.58618470563,9.1614300329093e-11,1,1,24,9.4204189296597,3,5.0962977284895e-12,1
220,1,5,310.47976851754,1.5916157281026e-12,1,1,24,7.0680007870869,3,1.7372769889334e-12,1
240,1,5,357.96598944689,1.735500632094e-12,1,1,24,27.976722924002,3,2.9567877795969e-12,1
260,1,5,405.06525479876,1.8034922854662e-12,1,1,24,40.988882941371,3,6.9745925018283e-11,1
280,1,5,451.79338594773,3.2134295224751e-12,1,0,24,1732.7380599264,40,602.67156709872,2.3744255170498e-27
300,1,5,498.16354239688,3.3164582191603e-12,1,0,-1,inf,0,0,0
320,1,5,544.187177264,3.2223113066721e-12,1,0,-1,inf,0,0,0
350,1,5,894.66138803662,4.42493637717e-12,1,0,-1,inf,0,0,0
400,1,6,1691.7705068145,3.9753283688558e-12,1,0,-1,inf,0,0,0
450,1,6,1977.4833058225,6.7998939812242e-12,1,0,-1,inf,0,0,0
500,1,5,2258.1347589025,7.2206146038965e-12,1,0,-1,inf,0,0,0
600,1,7,5204.9124002496,9.5457590266103e-12,1,0,-1,inf,0,0,0
700,1,6,6304.5308373978,1.7026573892777e-11,1,0,-1,inf,0,0,0
800,1,6,7369.8179322539,1.8528506465104e-11,1,0,-1,inf,0,0,0
1000,0,40,17224.614981913,4163.5251620609,1.4109640362655e-26,0,-1,inf,0,0,0
