drive,theta,newton_burst,ok,rungs,newton_iters,final_residual,min_alpha
94,0.33,1,0,12,12,12.327040848026,0.0012269945199514
94,0.33,2,0,12,24,12.385360217371,0.00037181096471779
94,0.5,1,0,12,12,0.023351717700694,0.001262791641969
94,0.5,2,1,11,21,4.0955872793023e-13,0.0013967125611329
94,0.7,1,1,8,8,1.0569323194431e-13,0.019040749842661
94,0.7,2,1,6,11,1.0658141036402e-13,0.002782966491798
94,0.85,1,0,1,1,35961.678650565,0.087750933374114
94,0.85,2,0,1,2,33869.666394817,0.05236831858242
94,0.9,1,0,1,1,136764013.60988,0.0061709248246064
94,0.9,2,0,1,2,136468078.226,0.002164941629943
