drive,pure_ok,pure_iters,pure_init_res,pure_res,seed_p,seed_res,hybrid_ok,hybrid_iters,hybrid_res
76,1,5,2.2447979241555,1.9579199482468998e-14,24,0.68204461384081,1,3,1.9402208629001e-14
77,1,6,2.3002813528558,1.9291003366027e-14,24,1.5011470201345,1,3,2.077563998987e-14
78,0,40,2.3560676088087,2.3448893139198,24,3.1906582239453,1,3,5.976320432555e-12
79,0,40,2.4121487681705,2.3901282096907,24,6.6787663768404,1,4,2.2264362902491e-14
80,0,40,2.4685171693304,2.4394063388924,80,3.3166059213828,1,3,1.9446552562863e-14
82,0,40,2.582086301731,2.5562577074475,80,2.6837712070866,1,4,2.8284487470577e-14
84,0,40,2.696718585131,2.6507377459373,64,10.270205028359,1,4,3.4339481937712e-14
85,0,40,2.7544167667069,2.7112552283196,64,11.207869672659,1,4,6.157957006018699e-13
86,0,40,2.8123611911321,2.7390446182891,64,35.961912472056,1,5,5.5524932449825e-14
87,0,40,2.8705457723606,2.8225619125388,64,78.878498827405,1,5,6.9383881580151e-11
88,0,40,2.9289646166832,2.902350038719,96,872843.17207693,0,40,760812.51957994
