step,mu,xstart,x,ok,iters,residual
0,-1.6491387263648896,-1,-0.95841096467923248,1,4,0
1,-1.581209400344791,-0.95841096467923248,-0.91462183362629323,1,4,0
2,-1.5147024624437955,-0.91462183362629323,-0.86840550405634254,1,4,0
3,-1.4498723539607208,-0.86840550405634254,-0.8195058947136783,1,4,0
4,-1.387030223921202,-0.8195058947136783,-0.76763567730104587,1,4,0
5,-1.3265566857000115,-0.76763567730104587,-0.71247506141443739,1,4,0
6,-1.268915851104736,-0.71247506141443739,-0.65367224514455358,1,4,2.2204460492503131e-16
7,-1.2146689638000043,-0.65367224514455358,-0.5908456628851374,1,4,0
8,-1.1644841472116743,-0.5908456628851374,-0.52358588154130237,1,4,0
9,-1.119136334267558,-0.52358588154130237,-0.45144727757499681,1,4,2.2204460492503131e-16
10,-1.0794894869119533,-0.45144727757499681,-0.37389488937326099,1,4,2.2204460492503131e-16
11,-1.0464553783354174,-0.37389488937326099,-0.29008288775422914,1,4,7.1054273576010019e-15
12,-1.0209385597139082,-0.29008288775422914,-0.19789111676760571,1,5,2.2204460492503131e-16
13,-1.0038368670400177,-0.19789111676760571,-0.086339352218968254,1,5,7.1054273576010019e-15
14,-1.0000202607775524,-0.086339352218968254,-0.0063589080344122664,1,7,8.5154105988749507e-13
15,-1.0026474589154883,-0.0063589080344122664,-0.071894298906193532,1,5,0
16,-1.0083141507697322,-0.071894298906193532,-0.1262379346198898,1,5,2.2204460492503131e-16
17,-1.0181172000158976,-0.1262379346198898,-0.18450107952920708,1,4,6.2505556286396313e-13
18,-1.0321728420546068,-0.18450107952920708,-0.24337854759840874,1,4,1.2434497875801753e-14
19,-1.0503032920605704,-0.24337854759840874,-0.3012673682360405,1,4,4.4408920985006262e-16
20,-1.072199885235223,-0.3012673682360405,-0.35738204516128164,1,4,0
21,-1.0975074076929339,-0.35738204516128164,-0.41135794888468902,1,4,0
22,-1.1258683645814593,-0.41135794888468902,-0.46305947243977602,1,4,2.2204460492503131e-16
23,-1.1569453707023354,-0.46305947243977602,-0.51247869776843014,1,4,0
24,-1.1904311605993207,-0.51247869776843014,-0.55967838141071813,1,4,0
25,-1.2260516673304582,-0.55967838141071813,-0.60475868350287232,1,4,2.2204460492503131e-16
26,-1.2635653982857664,-0.60475868350287232,-0.64783744581745673,1,4,0
27,-1.3027610045360478,-0.64783744581745673,-0.68903850755814255,1,4,2.2204460492503131e-16
28,-1.3434541252329093,-0.68903850755814255,-0.72848489224492174,1,4,4.4408920985006262e-16
29,-1.3854840962851955,-0.72848489224492174,-0.76629497497615107,1,4,0
