step,method,x0,mu0,x,mu,nrii_center,radius,certified,newton_iters,arc_iters,residual
0,NRII_Krawczyk_Newton,-1,-1.7182818284590451,-0.95841096467923259,-1.6491387263648896,-0.9584109646817327,1.9428714104208211e-07,1,1,0,0
1,NRII_Krawczyk_Newton,-0.95841096467923259,-1.6491387263648896,-0.91462183362629335,-1.581209400344791,-0.91462183363207306,2.7859591122947336e-07,1,1,0,0
2,NRII_Krawczyk_Newton,-0.91462183362629335,-1.581209400344791,-0.86840550405634276,-1.5147024624437955,-0.86840550406880102,4.0984532967414111e-07,1,1,0,0
3,NRII_Krawczyk_Newton,-0.86840550405634276,-1.5147024624437955,-0.81950589471367841,-1.4498723539607208,-0.81950589474416136,6.2065238015662771e-07,1,1,0,4.4408920985006262e-16
4,NRII_Krawczyk_Newton,-0.81950589471367841,-1.4498723539607208,-0.76763567730104609,-1.387030223921202,-0.7676356773287849,9.7171239943349974e-07,1,1,0,4.4408920985006262e-16
5,NRII_Krawczyk_Newton,-0.76763567730104609,-1.387030223921202,-0.71247506141443706,-1.3265566857000115,-0.71247506152334883,1.5802974284717664e-06,1,1,0,4.4408920985006262e-16
6,NRII_Krawczyk_Newton,-0.71247506141443706,-1.3265566857000115,-0.65367224514455347,-1.268915851104736,-0.65367224524481904,2.6887192872138144e-06,1,1,0,0
7,NRII_Krawczyk_Newton,-0.65367224514455347,-1.268915851104736,-0.59084566288513729,-1.2146689638000043,-0.59084566373862268,4.8241185424124922e-06,1,1,0,0
8,NRII_Krawczyk_Newton,-0.59084566288513729,-1.2146689638000043,-0.52358588154130203,-1.1644841472116743,-0.52358588225653302,9.2626004484230862e-06,1,1,0,0
9,NRII_Krawczyk_Newton,-0.52358588154130203,-1.1644841472116743,-0.45144727757499692,-1.119136334267558,-0.45144728237836862,1.9394234009650901e-05,1,1,0,0
10,NRII_Krawczyk_Newton,-0.45144727757499692,-1.119136334267558,-0.37389488937326121,-1.0794894869119533,-0.37389491014507892,4.6012411410778498e-05,1,1,0,4.4408920985006262e-16
11,NRII_Krawczyk_Newton,-0.37389488937326121,-1.0794894869119533,-0.29008288775421498,-1.0464553783354174,-0.2900829498570604,0.00013365789230346259,1,1,0,2.4424906541753444e-15
12,NRII_Krawczyk_Newton,-0.29008288775421498,-1.0464553783354174,-0.19789111676760593,-1.0209385597139082,-0.19789328048577032,0.00056793155321410715,1,2,0,2.2204460492503131e-16
13,NRII_Krawczyk_Newton,-0.19789111676760593,-1.0209385597139082,-0.08633935221992689,-1.0038368670400177,-0.086601387262833215,0.0068647013254266032,1,2,0,9.3258734068513149e-14
14,PseudoArclength,-0.08633935221992689,-1.0038368670400177,-0.0063589079009560758,-1.0000202607775524,nan,1e-6,1,0,2,0
15,PseudoArclength,-0.0063589079009560758,-1.0000202607775524,0.073659479174279341,-1.0026474589154883,nan,1e-6,1,0,2,0
16,NRII_Krawczyk_Newton,0.073659479174279341,-1.0026474589154883,0.13178274940957221,-1.0083141507697322,0.13175483765852128,0.0014006352470387062,1,2,0,0
17,NRII_Krawczyk_Newton,0.13178274940957221,-1.0083141507697322,0.19658893267995831,-1.0181172000158976,0.19658683576780636,0.00031926088568212663,1,2,0,1.1102230246251565e-16
18,NRII_Krawczyk_Newton,0.19658893267995831,-1.0181172000158976,0.2648577468617202,-1.0321728420546068,0.26485779526836795,9.1119851054477508e-05,1,1,0,7.7715611723760958e-16
19,NRII_Krawczyk_Newton,0.2648577468617202,-1.0321728420546068,0.33487775098866862,-1.0503032920605704,0.33487775651034923,3.0464390206041969e-05,1,1,0,1.1102230246251565e-16
20,NRII_Krawczyk_Newton,0.33487775098866862,-1.0503032920605704,0.40566939775792143,-1.072199885235223,0.40566939882166159,1.1704875243490065e-05,1,1,0,1.1102230246251565e-16
21,NRII_Krawczyk_Newton,0.40566939775792143,-1.072199885235223,0.47664371072554068,-1.0975074076929339,0.47664371114201748,4.9923444540578288e-06,1,1,0,1.1102230246251565e-16
22,NRII_Krawczyk_Newton,0.47664371072554068,-1.0975074076929339,0.54743921845435473,-1.1258683645814593,0.54743921844098553,2.308692031771642e-06,1,1,0,0
23,NRII_Krawczyk_Newton,0.54743921845435473,-1.1258683645814593,0.61783504720387927,-1.1569453707023354,0.61783504720387927,1.1400583890264215e-06,1,0,0,8.5831342033770852e-13
24,NRII_Krawczyk_Newton,0.61783504720387927,-1.1569453707023354,0.68770027930119371,-1.1904311605993207,0.68770027930119371,5.9403669272484194e-07,1,0,0,1.7397194795876203e-13
25,NRII_Krawczyk_Newton,0.68770027930119371,-1.1904311605993207,0.75696258272986972,-1.2260516673304582,0.75696258272986972,3.2380065428938565e-07,1,0,0,2.6589841439772499e-14
26,NRII_Krawczyk_Newton,0.75696258272986972,-1.2260516673304582,0.82558802180108637,-1.2635653982857664,0.82558802180108637,1.8340943208627891e-07,1,0,0,3.0198066269804258e-14
27,NRII_Krawczyk_Newton,0.82558802180108637,-1.2635653982857664,0.89356776415918271,-1.3027610045360478,0.89356776415918271,1.0738502798091076e-07,1,0,0,1.865174681370263e-14
28,NRII_Krawczyk_Newton,0.89356776415918271,-1.3027610045360478,0.96090921175712452,-1.3434541252329093,0.96090921175712452,6.4711281666518516e-08,1,0,0,5.4956039718945249e-15
29,NRII_Krawczyk_Newton,0.96090921175712452,-1.3434541252329093,1.0276300401633864,-1.3854840962851955,1.0276300401633864,3.9994183076430545e-08,1,0,0,6.6613381477509392e-15
